x0000,y0000
24950000.,0.2374865447
24950500.,0.2388119876
24951000.,0.2327978581
24951500.,0.2304807821
24952000.,0.2277532450
24952500.,0.2244788883
24953000.,0.2234964662
24953500.,0.2225329604
24954000.,0.2137536579
24954500.,0.2162234043
24955000.,0.2124816250
24955500.,0.2144575094
24956000.,0.2169255490
24956500.,0.2092867657
24957000.,0.2076861275
24957500.,0.2083111348
24958000.,0.2082441113
24958500.,0.2056462403
24959000.,0.2053750501
24959500.,0.2055786509
24960000.,0.2044907779
24960500.,0.2081387592
24961000.,0.2042309739
24961500.,0.2055525894
24962000.,0.2029974575
24962500.,0.2098996656
24963000.,0.2062600321
24963500.,0.2099919850
24964000.,0.21237637
24964500.,0.2165375367
24965000.,0.2189927672
24965500.,0.2200321802
24966000.,0.2226693494
24966500.,0.2280865847
24967000.,0.2218812542
24967500.,0.2247235913
24968000.,0.2297207003
24968500.,0.2327018675
24969000.,0.2379997326
24969500.,0.2436344144
24970000.,0.2410462777
24970500.,0.2418879056
24971000.,0.249127985
24971500.,0.2502688172
24972000.,0.2523477328
24972500.,0.2521820867
24973000.,0.2538471832
24973500.,0.2611821086
24974000.,0.2636011228
24974500.,0.2685767840
24975000.,0.2707746006
24975500.,0.2681586706
24976000.,0.2660759834
24976500.,0.2694578637
24977000.,0.2782899132
24977500.,0.272556391
24978000.,0.2726786192
24978500.,0.2735077129
24979000.,0.2732109604
24979500.,0.2759919301
24980000.,0.2753817305
24980500.,0.2765900229
24981000.,0.2735168359
24981500.,0.2708054589
24982000.,0.2726907092
24982500.,0.2706655931
24983000.,0.2711636657
24983500.,0.2727516779
24984000.,0.2683941998
24984500.,0.2638086279
24985000.,0.2644772118
24985500.,0.2656692277
24986000.,0.2634120172
24986500.,0.2574842261
24987000.,0.2477911647
24987500.,0.2514446983
24988000.,0.2457204475
24988500.,0.2522522523
24989000.,0.2470382337
24989500.,0.2342501016
24990000.,0.2302489177
24990500.,0.2359580758
24991000.,0.2303961196
24991500.,0.2258499730
24992000.,0.2223874544
24992500.,0.2213545173
24993000.,0.2226578343
24993500.,0.2206261011
24994000.,0.2149545393
24994500.,0.2211279007
24995000.,0.2089430894
24995500.,0.211611503
24996000.,0.2108539721
24996500.,0.2048780488
24997000.,0.2055796316
24997500.,0.2115149040
24998000.,0.2089531868
24998500.,0.2020160741
24999000.,0.2063212154
24999500.,0.2055692056
25000000.,0.2052953157
25000500.,0.2030992869
25001000.,0.2018849884
25001500.,0.2002991569
25002000.,0.2035217035
25002500.,0.2103321033
25003000.,0.2245537539
25003500.,0.231646085
25004000.,0.2207385202
25004500.,0.2131438721
25005000.,0.2072623419
25005500.,0.1998910675
25006000.,0.2075214607
25006500.,0.2252522498
25007000.,0.2326184947
25007500.,0.2402074519
25008000.,0.2313880556
25008500.,0.2219353085
25009000.,0.2231753813
25009500.,0.2345981232
25010000.,0.2375630367
25010500.,0.2392462106
25011000.,0.2488410145
25011500.,0.2440087146
25012000.,0.2530038230
25012500.,0.247879617
25013000.,0.2539359392
25013500.,0.2547322877
25014000.,0.2644335512
25014500.,0.2604336043
25015000.,0.2668112798
25015500.,0.2640663224
25016000.,0.2708191359
25016500.,0.2708729943
25017000.,0.270027248
25017500.,0.2756120914
25018000.,0.2758339006
25018500.,0.2714790647
25019000.,0.2758573576
25019500.,0.2732826500
25020000.,0.2720588235
25020500.,0.2706328771
25021000.,0.2760786455
25021500.,0.2700868621
25022000.,0.2700502103
25022500.,0.2703362256
25023000.,0.2710052767
25023500.,0.2559113633
25024000.,0.2651024811
25024500.,0.268097243
25025000.,0.2665230852
25025500.,0.2625388671
25026000.,0.2439951147
25026500.,0.2437938478
25027000.,0.2524219591
25027500.,0.2718931318
25028000.,0.2593445287
25028500.,0.2464377799
25029000.,0.2323724455
25029500.,0.2252532073
25030000.,0.2293838863
25030500.,0.2317288136
25031000.,0.2238725358
25031500.,0.2343876723
25032000.,0.2267678136
25032500.,0.2261550932
25033000.,0.2165433759
25033500.,0.2158234661
25034000.,0.2057235421
25034500.,0.2122316727
25035000.,0.2156013001
25035500.,0.2192224622
25036000.,0.2064996615
25036500.,0.2018064168
25037000.,0.2047753946
25037500.,0.2074044048
25038000.,0.2070734341
25038500.,0.2034171936
25039000.,0.2003226674
25039500.,0.2063214526
25040000.,0.2016988001
25040500.,0.2029024456
25041000.,0.2076129205
25041500.,0.2069104598
25042000.,0.2094904287
25042500.,0.2159598970
25043000.,0.2114216282
25043500.,0.2066811515
25044000.,0.2123222749
25044500.,0.2134498991
25045000.,0.2192019282
25045500.,0.2154882155
25046000.,0.2170532243
25046500.,0.2255232951
25047000.,0.2302313072
25047500.,0.2347602276
25048000.,0.2294220665
25048500.,0.2315164598
25049000.,0.2402317435
25049500.,0.2464079495
25050000.,0.2437314640
24950000.,0.2419789701
24950500.,0.2364174287
24951000.,0.2330948846
24951500.,0.2233502538
24952000.,0.2253331539
24952500.,0.2276094276
