x0000,y0000
-25050000.,0.2759197324
-25049500.,0.2710069031
-25049000.,0.2717391304
-25048500.,0.2727381094
-25048000.,0.2753744757
-25047500.,0.2774009282
-25047000.,0.2737924438
-25046500.,0.2778576564
-25046000.,0.2817758682
-25045500.,0.2841504046
-25045000.,0.2883098255
-25044500.,0.2907546944
-25044000.,0.2911936910
-25043500.,0.2910198233
-25043000.,0.2970356204
-25042500.,0.2988780138
-25042000.,0.3020447208
-25041500.,0.3056019070
-25041000.,0.3071660065
-25040500.,0.3121186745
-25040000.,0.3111164581
-25039500.,0.3185344313
-25039000.,0.3177390259
-25038500.,0.3242300289
-25038000.,0.3212012012
-25037500.,0.3242788462
-25037000.,0.3273845412
-25036500.,0.3277923942
-25036000.,0.3316979777
-25035500.,0.3383503913
-25035000.,0.3442524598
-25034500.,0.3275156476
-25034000.,0.3444591187
-25033500.,0.3445791812
-25033000.,0.3469412331
-25032500.,0.349909475
-25032000.,0.3481543624
-25031500.,0.3478365096
-25031000.,0.3485625671
-25030500.,0.3483763133
-25030000.,0.3507131727
-25029500.,0.3464444178
-25029000.,0.3442016004
-25028500.,0.3456243266
-25028000.,0.3461813842
-25027500.,0.3399180920
-25027000.,0.3340517241
-25026500.,0.3400310968
-25026000.,0.3437049495
-25025500.,0.3438773065
-25025000.,0.3344541852
-25024500.,0.3289677343
-25024000.,0.3346466094
-25023500.,0.3328141847
-25023000.,0.3312216113
-25022500.,0.3265695870
-25022000.,0.3036824486
-25021500.,0.2985667831
-25021000.,0.3061028352
-25020500.,0.3096526025
-25020000.,0.3075162611
-25019500.,0.2984425933
-25019000.,0.2975803539
-25018500.,0.302303263
-25018000.,0.2950407283
-25017500.,0.2899677149
-25017000.,0.3009052505
-25016500.,0.2919813017
-25016000.,0.2915818465
-25015500.,0.2788403705
-25015000.,0.2759118815
-25014500.,0.2730227519
-25014000.,0.2806849479
-25013500.,0.2790051914
-25013000.,0.2741429261
-25012500.,0.2711314176
-25012000.,0.2691846523
-25011500.,0.2727163026
-25011000.,0.2722683015
-25010500.,0.2723786699
-25010000.,0.2723435050
-25009500.,0.2751928640
-25009000.,0.2751348113
-25008500.,0.2805201059
-25008000.,0.2750929368
-25007500.,0.2780247507
-25007000.,0.2750209255
-25006500.,0.2770953757
-25006000.,0.2818759746
-25005500.,0.2850618916
-25005000.,0.2819557905
-25004500.,0.2898987464
-25004000.,0.2885679904
-25003500.,0.2899940084
-25003000.,0.2901056676
-25002500.,0.297333013
-25002000.,0.3069164265
-25001500.,0.3062975946
-25001000.,0.3065465465
-25000500.,0.3091258867
-25000000.,0.3117505995
-24999500.,0.3161507889
-24999000.,0.3145393474
-24998500.,0.3249698432
-24998000.,0.3232093746
-24997500.,0.3247236905
-24997000.,0.3302308715
-24996500.,0.3309326611
-24996000.,0.3327346743
-24995500.,0.3336523508
-24995000.,0.3380094328
-24994500.,0.3416856492
-24994000.,0.3358769524
-24993500.,0.3412045319
-24993000.,0.339812815
-24992500.,0.3457865839
-24992000.,0.3463794135
-24991500.,0.3459361830
-24991000.,0.3478733688
-24990500.,0.3441854877
-24990000.,0.3420863309
-24989500.,0.3443174985
-24989000.,0.3414663462
-24988500.,0.3418330527
-24988000.,0.3408845739
-24987500.,0.3406672247
-24987000.,0.3396226415
-24986500.,0.3399423216
-24986000.,0.3317307692
-24985500.,0.336981359
-24985000.,0.3327327327
-24984500.,0.3259436788
-24984000.,0.3253949258
-24983500.,0.3248828547
-24983000.,0.3202301055
-24982500.,0.3177839069
-24982000.,0.3169326773
-24981500.,0.3113951266
-24981000.,0.3099296698
-24980500.,0.3053070960
-24980000.,0.3033345285
-24979500.,0.2988943051
-24979000.,0.2995479419
-24978500.,0.2983832620
-24978000.,0.29306035
-24977500.,0.2906339371
-24977000.,0.2902415690
-24976500.,0.2853077197
-24976000.,0.2872454448
-24975500.,0.2872492837
-24975000.,0.2819136244
-24974500.,0.2831721008
-24974000.,0.2771971496
-24973500.,0.2761780105
-24973000.,0.2713454459
-24972500.,0.2724447101
-24972000.,0.2747344552
-24971500.,0.2761870675
-24971000.,0.2756769653
-24970500.,0.2731492502
-24970000.,0.2761087268
-24969500.,0.2749194222
-24969000.,0.276091872
-24968500.,0.27557461
-24968000.,0.2740149982
-24967500.,0.2803916886
-24967000.,0.2838174274
-24966500.,0.285391924
-24966000.,0.2841979726
-24965500.,0.2875653828
-24965000.,0.285595535
-24964500.,0.2911317166
-24964000.,0.2937893362
-24963500.,0.2992284866
-24963000.,0.3022951599
-24962500.,0.3014485813
-24962000.,0.3007581142
-24961500.,0.3060226595
-24961000.,0.3048809243
-24960500.,0.3112003781
-24960000.,0.3167340147
-24959500.,0.3196255037
-24959000.,0.3213735938
-24958500.,0.3255868822
-24958000.,0.3223629691
-24957500.,0.331120332
-24957000.,0.3358715051
-24956500.,0.3355434525
-24956000.,0.3354647721
-24955500.,0.3408956635
-24955000.,0.3391232423
-24954500.,0.3463773272
-24954000.,0.3424641290
-24953500.,0.3468854018
-24953000.,0.3493862134
-24952500.,0.3523358959
-24952000.,0.3521626093
-24951500.,0.3514120288
-24951000.,0.3462672485
-24950500.,0.3475960973
-24950000.,0.3480004719
-25050000.,0.2753571850
-25049500.,0.2753400355
-25049000.,0.2790944464
-25048500.,0.2740452617
-25048000.,0.2789405226
-25047500.,0.2792484046
-25047000.,0.2827243703
-25046500.,0.2809692671
-25046000.,0.2799341331
-25045500.,0.2862903226
-25045000.,0.2885636728
-25044500.,0.2878985421
-25044000.,0.2884093857
-25043500.,0.2944523471
-25043000.,0.2958930051
-25042500.,0.3017210682
-25042000.,0.3057988166
-25041500.,0.3070894193
-25041000.,0.3061321314
-25040500.,0.3114793182
-25040000.,0.3120466167
-25039500.,0.3177002738
-25039000.,0.3164782867
