x0000,y0000
24950000.,0.2748833102
24950500.,0.2712186471
24951000.,0.2707964602
24951500.,0.2645014533
24952000.,0.2656072645
24952500.,0.2647951442
24953000.,0.2658944983
24953500.,0.2615617892
24954000.,0.2619047619
24954500.,0.2578854403
24955000.,0.2589590984
24955500.,0.2602826142
24956000.,0.2586770624
24956500.,0.2598622417
24957000.,0.2626809314
24957500.,0.2615326443
24958000.,0.2641080672
24958500.,0.2694883133
24959000.,0.2656895904
24959500.,0.2695125032
24960000.,0.2761061947
24960500.,0.2731039679
24961000.,0.2741327300
24961500.,0.2793077312
24962000.,0.2799191204
24962500.,0.2858401510
24963000.,0.2899797571
24963500.,0.2960202148
24964000.,0.2927939317
24964500.,0.2947262175
24965000.,0.3009329299
24965500.,0.3018891688
24966000.,0.3048565677
24966500.,0.3104058667
24967000.,0.314747067
24967500.,0.3168677728
24968000.,0.3204079063
24968500.,0.3239277652
24969000.,0.3198585144
24969500.,0.326707762
24970000.,0.3312736444
24970500.,0.3319491632
24971000.,0.3331227893
24971500.,0.3378259227
24972000.,0.3430159131
24972500.,0.3409774436
24973000.,0.3432310015
24973500.,0.3398520747
24974000.,0.3441591138
24974500.,0.3418642579
24975000.,0.3435890996
24975500.,0.3418393128
24976000.,0.340723013
24976500.,0.3377549743
24977000.,0.3412489006
24977500.,0.3387137137
24978000.,0.334922826
24978500.,0.3361386760
24979000.,0.3373509102
24979500.,0.3284325941
24980000.,0.3324089247
24980500.,0.3298192771
24981000.,0.3310802353
24981500.,0.3240764011
24982000.,0.3222683264
24982500.,0.3148658812
24983000.,0.3173329991
24983500.,0.3103969754
24984000.,0.3072864322
24984500.,0.3028133635
24985000.,0.2987843088
24985500.,0.2958914436
24986000.,0.296277666
24986500.,0.2901560926
24987000.,0.287518949
24987500.,0.2877091458
24988000.,0.2844871147
24988500.,0.2851903377
24989000.,0.2780432596
24989500.,0.2759312680
24990000.,0.2750409475
24990500.,0.2766468580
24991000.,0.2669012315
24991500.,0.2645436309
24992000.,0.2634361233
24992500.,0.2624936901
24993000.,0.2598692482
24993500.,0.2621529959
24994000.,0.2616410773
24994500.,0.2594920795
24995000.,0.2612127286
24995500.,0.2595515470
24996000.,0.2619644199
24996500.,0.2663410969
24997000.,0.2624281789
24997500.,0.2654259306
24998000.,0.2637652076
24998500.,0.2624122367
24999000.,0.2715662952
24999500.,0.2718882514
25000000.,0.2765664160
25000500.,0.2744803406
25001000.,0.2765160968
25001500.,0.2780881440
25002000.,0.2856426332
25002500.,0.2862695925
25003000.,0.2872260956
25003500.,0.2867401263
25004000.,0.2914753692
25004500.,0.2973807759
25005000.,0.3051988530
25005500.,0.3022392676
25006000.,0.3095979086
25006500.,0.3094148212
25007000.,0.3164651627
25007500.,0.3162319199
25008000.,0.3196080863
25008500.,0.3208322950
25009000.,0.3214638971
25009500.,0.3279281527
25010000.,0.3320069634
25010500.,0.3356504469
25011000.,0.3373867726
25011500.,0.3387537239
25012000.,0.3394677941
25012500.,0.3426225429
25013000.,0.3391791045
25013500.,0.3396809695
25014000.,0.3400272716
25014500.,0.3456101190
25015000.,0.3434831043
25015500.,0.3415392267
25016000.,0.3459962756
25016500.,0.344595437
25017000.,0.3420401089
25017500.,0.34125
25018000.,0.3411180124
25018500.,0.3386935926
25019000.,0.335486275
25019500.,0.3313005600
25020000.,0.3281930108
25020500.,0.3276653841
25021000.,0.3207756917
25021500.,0.3303217822
25022000.,0.3244416873
25022500.,0.3205587835
25023000.,0.3155874706
25023500.,0.3154046350
25024000.,0.3153712441
25024500.,0.3057625435
25025000.,0.3024288004
25025500.,0.2989130435
25026000.,0.2975308642
25026500.,0.2889710413
25027000.,0.2914610069
25027500.,0.2844127062
25028000.,0.2839399902
25028500.,0.2814540974
25029000.,0.27799704
25029500.,0.2772620374
25030000.,0.2723004695
25030500.,0.2701199159
25031000.,0.2691882599
25031500.,0.2664534383
25032000.,0.2682866658
25032500.,0.2652008353
25033000.,0.2633190447
25033500.,0.2630737049
25034000.,0.2641881078
25034500.,0.2639556377
25035000.,0.2623354251
25035500.,0.2611949454
25036000.,0.2652056144
25036500.,0.2626535627
25037000.,0.2621359223
25037500.,0.2633972468
25038000.,0.2681221636
25038500.,0.2687208446
25039000.,0.2698881102
25039500.,0.2782576505
25040000.,0.2802177409
25040500.,0.2786925535
25041000.,0.2782822086
25041500.,0.2828220859
25042000.,0.2887825233
25042500.,0.2930186824
25043000.,0.2909851187
25043500.,0.2997406447
25044000.,0.2981136728
25044500.,0.3034703421
25045000.,0.3051056991
25045500.,0.3137279130
25046000.,0.3132145052
25046500.,0.3156923077
25047000.,0.3209709216
25047500.,0.3233230769
25048000.,0.3221674877
25048500.,0.3296432964
25049000.,0.3287299630
25049500.,0.3329223181
25050000.,0.3338269777
24950000.,0.2740384615
24950500.,0.2734461881
24951000.,0.2720705277
24951500.,0.2700676091
24952000.,0.2714074803
24952500.,0.2681812569
24953000.,0.2625015434
24953500.,0.2614893094
24954000.,0.2620987654
24954500.,0.2654998151
24955000.,0.2602519763
24955500.,0.2621898531
24956000.,0.2665190107
24956500.,0.2659653465
24957000.,0.2602216749
24957500.,0.262518592
24958000.,0.2636982066
24958500.,0.2674922601
24959000.,0.2684398473
24959500.,0.2740640059
24960000.,0.2758748152
24960500.,0.2771739130
24961000.,0.2788839725
24961500.,0.280823617
24962000.,0.2785028318
24962500.,0.2898496708
24963000.,0.2929528963
24963500.,0.2931290163
24964000.,0.2950314388
24964500.,0.3030115256
24965000.,0.3028402803
24965500.,0.3090976423
24966000.,0.3087710666
24966500.,0.3129327399
24967000.,0.3175367148
24967500.,0.3233362251
24968000.,0.3205317578
24968500.,0.3257912957
24969000.,0.3253041662
24969500.,0.3331279270
24970000.,0.3279636006
24970500.,0.3415505978
24971000.,0.3406512087
24971500.,0.3420138889
24972000.,0.3451612903
24972500.,0.3470268937
24973000.,0.3437113912
24973500.,0.3464537690
24974000.,0.3502338174
24974500.,0.3486590038
24975000.,0.347681712
24975500.,0.3496115427
24976000.,0.3470190535
24976500.,0.3447894931
24977000.,0.3457702253
24977500.,0.3454858973
24978000.,0.3451895764
24978500.,0.3412415489
24979000.,0.3389726615
24979500.,0.3371921182
24980000.,0.3307163886
24980500.,0.3309175777
24981000.,0.3276136781
24981500.,0.3233518176
24982000.,0.3258593076
24982500.,0.3212218253
24983000.,0.3189708236
24983500.,0.3205759291
24984000.,0.3132089279
24984500.,0.305582762
24985000.,0.3111519608
24985500.,0.2994377903
24986000.,0.3007850834
24986500.,0.3006391347
24987000.,0.2885717770
24987500.,0.2870027181
24988000.,0.2834810438
24988500.,0.2837323511
24989000.,0.2824969400
24989500.,0.2806931301
24990000.,0.2771379564
24990500.,0.2738743196
24991000.,0.2715729783
24991500.,0.2691021672
24992000.,0.2685812893
24992500.,0.2624305984
24993000.,0.2652859961
24993500.,0.262095285
24994000.,0.2623072178
24994500.,0.2635352287
24995000.,0.2592363771
24995500.,0.2636081835
24996000.,0.2616106719
24996500.,0.2655360238
24997000.,0.2660288270
24997500.,0.2680335968
24998000.,0.2636014376
24998500.,0.2711822355
24999000.,0.2674764502
24999500.,0.2719406675
25000000.,0.2781852082
25000500.,0.2745632511
25001000.,0.2805210918
25001500.,0.2834987593
25002000.,0.2863861386
25002500.,0.2797288971
25003000.,0.2900148662
25003500.,0.2911891559
25004000.,0.2976634352
