x0000,y0000
-25050000.,0.1742544958
-25049500.,0.1764840706
-25049000.,0.1778769160
-25048500.,0.1764230458
-25048000.,0.1811445508
-25047500.,0.1776864223
-25047000.,0.1775891341
-25046500.,0.1847813742
-25046000.,0.1812613430
-25045500.,0.1852870402
-25045000.,0.1837155963
-25044500.,0.1863672632
-25044000.,0.185295465
-25043500.,0.1881830601
-25043000.,0.1939045428
-25042500.,0.1893809360
-25042000.,0.1951080123
-25041500.,0.1932792319
-25041000.,0.2006861063
-25040500.,0.2017855099
-25040000.,0.2025243832
-25039500.,0.2053918209
-25039000.,0.2090050668
-25038500.,0.2073282793
-25038000.,0.210441951
-25037500.,0.2131354957
-25037000.,0.2180581181
-25036500.,0.2132386624
-25036000.,0.2202298851
-25035500.,0.2202435662
-25035000.,0.2271318719
-25034500.,0.224609375
-25034000.,0.2268714892
-25033500.,0.2242368602
-25033000.,0.2286892759
-25032500.,0.2314125329
-25032000.,0.2300803674
-25031500.,0.230690128
-25031000.,0.2311655599
-25030500.,0.2319039451
-25030000.,0.2351998168
-25029500.,0.2336651791
-25029000.,0.2316416543
-25028500.,0.2295755363
-25028000.,0.2321058688
-25027500.,0.2300925397
-25027000.,0.2314994853
-25026500.,0.2272156952
-25026000.,0.2291950887
-25025500.,0.2255965293
-25025000.,0.224979984
-25024500.,0.2212197350
-25024000.,0.2189997716
-25023500.,0.2176537585
-25023000.,0.2173171009
-25022500.,0.2132436745
-25022000.,0.2114547537
-25021500.,0.207695821
-25021000.,0.2063764141
-25020500.,0.2076640661
-25020000.,0.1995683780
-25019500.,0.2014413178
-25019000.,0.1976041072
-25018500.,0.1998626374
-25018000.,0.1959267266
-25017500.,0.1944985673
-25017000.,0.1902533668
-25016500.,0.1909329679
-25016000.,0.1869361654
-25015500.,0.1859055028
-25015000.,0.1860730594
-25014500.,0.1832723949
-25014000.,0.1812072893
-25013500.,0.1785878038
-25013000.,0.1800893573
-25012500.,0.1775700935
-25012000.,0.1765841472
-25011500.,0.1798742138
-25011000.,0.1785795584
-25010500.,0.1783913841
-25010000.,0.1796516957
-25009500.,0.1786694102
-25009000.,0.1761823362
-25008500.,0.1836967690
-25008000.,0.1752541986
-25007500.,0.1783381089
-25007000.,0.1816214985
-25006500.,0.1838580424
-25006000.,0.1831852358
-25005500.,0.1846330275
-25005000.,0.1844182588
-25004500.,0.1906335460
-25004000.,0.1918138042
-25003500.,0.1889971347
-25003000.,0.1897710445
-25002500.,0.1938391329
-25002000.,0.192614543
-25001500.,0.1988849698
-25001000.,0.1996359914
-25000500.,0.2027707809
-25000000.,0.2030341052
-24999500.,0.2053998633
-24999000.,0.2092571429
-24998500.,0.2110133668
-24998000.,0.2104178592
-24997500.,0.2154355520
-24997000.,0.2190844910
-24996500.,0.2218546823
-24996000.,0.2196571429
-24995500.,0.2241595442
-24995000.,0.2215377595
-24994500.,0.2254890745
-24994000.,0.2248406193
-24993500.,0.2289566104
-24993000.,0.2279069767
-24992500.,0.2300090868
-24992000.,0.2298640466
-24991500.,0.2333105491
-24991000.,0.2290789024
-24990500.,0.2322485207
-24990000.,0.230314737
-24989500.,0.2309268959
-24989000.,0.2330218778
-24988500.,0.2300239371
-24988000.,0.2310321258
-24987500.,0.2283831383
-24987000.,0.2311747851
-24986500.,0.2288212582
-24986000.,0.2250426864
-24985500.,0.2233075875
-24985000.,0.2258359009
-24984500.,0.2208972175
-24984000.,0.2202347043
-24983500.,0.2172074954
-24983000.,0.2188924339
-24982500.,0.2142203932
-24982000.,0.2159013023
-24981500.,0.2130157283
-24981000.,0.2109598444
-24980500.,0.2081189251
-24980000.,0.2087106017
-24979500.,0.2020512821
-24979000.,0.2028686173
-24978500.,0.2036804206
-24978000.,0.1995161848
-24977500.,0.1931089744
-24977000.,0.1939922036
-24976500.,0.1908353331
-24976000.,0.1915625358
-24975500.,0.1854607899
-24975000.,0.1867525299
-24974500.,0.1831018253
-24974000.,0.1855515932
-24973500.,0.1828610761
-24973000.,0.1834061135
-24972500.,0.1827919834
-24972000.,0.1815575181
-24971500.,0.1787875328
-24971000.,0.1794368798
-24970500.,0.1743224621
-24970000.,0.1752494552
-24969500.,0.1764502364
-24969000.,0.1786574871
-24968500.,0.1752684448
-24968000.,0.1793278085
-24967500.,0.1807395461
-24967000.,0.1789945934
-24966500.,0.1794783010
-24966000.,0.1838286109
-24965500.,0.1858182238
-24965000.,0.1847649919
-24964500.,0.1873706004
-24964000.,0.1920185078
-24963500.,0.1866712787
-24963000.,0.1929601847
-24962500.,0.1944734703
-24962000.,0.1962530357
-24961500.,0.2014089387
-24961000.,0.1963854035
-24960500.,0.2043035367
-24960000.,0.2044408652
-24959500.,0.2088965916
-24959000.,0.2067897695
-24958500.,0.2091420696
-24958000.,0.2142939085
-24957500.,0.2160194175
-24957000.,0.2144824420
-24956500.,0.2190158657
-24956000.,0.2188836242
-24955500.,0.2208448118
-24955000.,0.2202442086
-24954500.,0.2209422878
-24954000.,0.2232440510
-24953500.,0.2277068232
-24953000.,0.226512374
-24952500.,0.2303183542
-24952000.,0.2291259906
