sum_1,sum_2,norm,scan
4448.0,8989.0,0.25054,25475000.0
4444.0,8950.0,0.2515,25475250.0
4477.0,8968.0,0.25621,25475500.0
4504.0,8971.0,0.26055,25475750.0
4506.0,8995.0,0.25985,25476000.0
4538.0,8966.0,0.2664,25476250.0
4534.0,8975.0,0.26534,25476500.0
4564.0,8975.0,0.27031,25476750.0
4572.0,8987.0,0.27109,25477000.0
4604.0,8975.0,0.27692,25477250.0
4618.0,8981.0,0.27896,25477500.0
4633.0,8979.0,0.28153,25477750.0
4666.0,9025.0,0.28482,25478000.0
4647.0,9003.0,0.28273,25478250.0
4683.0,8995.0,0.28904,25478500.0
4692.0,9019.0,0.28937,25478750.0
4709.0,9001.0,0.29303,25479000.0
4729.0,9023.0,0.29526,25479250.0
4729.0,9024.0,0.29521,25479500.0
4727.0,9031.0,0.29454,25479750.0
4733.0,9023.0,0.29591,25480000.0
4740.0,8977.0,0.29932,25480250.0
4776.0,9056.0,0.30134,25480500.0
4766.0,9050.0,0.3,25480750.0
4780.0,9040.0,0.30278,25481000.0
4773.0,9052.0,0.30105,25481250.0
4776.0,9058.0,0.30124,25481500.0
4795.0,9030.0,0.30574,25481750.0
4802.0,9033.0,0.30673,25482000.0
4760.0,9034.0,0.2998,25482250.0
4765.0,9006.0,0.30201,25482500.0
4761.0,9026.0,0.30036,25482750.0
4761.0,9047.0,0.29933,25483000.0
4750.0,9015.0,0.2991,25483250.0
4753.0,9049.0,0.29792,25483500.0
4725.0,9022.0,0.29465,25483750.0
4719.0,9013.0,0.2941,25484000.0
4717.0,9035.0,0.29271,25484250.0
4698.0,9054.0,0.2887,25484500.0
4679.0,9046.0,0.28597,25484750.0
4678.0,9088.0,0.28386,25485000.0
4632.0,9064.0,0.27747,25485250.0
4640.0,9035.0,0.2801,25485500.0
4608.0,9067.0,0.27342,25485750.0
4610.0,9007.0,0.27645,25486000.0
4590.0,9055.0,0.27102,25486250.0
4553.0,9027.0,0.2662,25486500.0
4530.0,8994.0,0.26385,25486750.0
4531.0,9012.0,0.26324,25487000.0
4513.0,9030.0,0.25951,25487250.0
4508.0,9005.0,0.25975,25487500.0
4505.0,9007.0,0.25917,25487750.0
4454.0,9005.0,0.25086,25488000.0
4455.0,8990.0,0.25165,25488250.0
4442.0,8995.0,0.2493,25488500.0
4441.0,8984.0,0.24959,25488750.0
4405.0,8995.0,0.2432,25489000.0
4400.0,8975.0,0.24318,25489250.0
4351.0,9013.0,0.2336,25489500.0
4392.0,8985.0,0.24145,25489750.0
4351.0,9017.0,0.23345,25490000.0
4364.0,8976.0,0.23718,25490250.0
4364.0,9009.0,0.23589,25490500.0
4324.0,9038.0,0.22823,25490750.0
4343.0,8957.0,0.23444,25491000.0
4345.0,9034.0,0.23182,25491250.0
4340.0,8963.0,0.23371,25491500.0
4335.0,8959.0,0.23304,25491750.0
4345.0,8950.0,0.23505,25492000.0
4346.0,8985.0,0.23386,25492250.0
4338.0,8968.0,0.23319,25492500.0
4341.0,8942.0,0.2347,25492750.0
4361.0,8997.0,0.23587,25493000.0
