sum_1,sum_2,norm,scan
4732.0,9408.0,0.27256,-25525000.0
4717.0,9462.0,0.26797,-25524750.0
4690.0,9432.0,0.26503,-25524500.0
4681.0,9453.0,0.26278,-25524250.0
4676.0,9447.0,0.26225,-25524000.0
4647.0,9463.0,0.25713,-25523750.0
4615.0,9459.0,0.25235,-25523500.0
4596.0,9377.0,0.25262,-25523250.0
4576.0,9421.0,0.24779,-25523000.0
4613.0,9469.0,0.25166,-25522750.0
4576.0,9456.0,0.24645,-25522500.0
4559.0,9415.0,0.24538,-25522250.0
4560.0,9427.0,0.24508,-25522000.0
4514.0,9446.0,0.23724,-25521750.0
4519.0,9434.0,0.23846,-25521500.0
4512.0,9461.0,0.23638,-25521250.0
4524.0,9440.0,0.23901,-25521000.0
4486.0,9436.0,0.23327,-25520750.0
4484.0,9408.0,0.23398,-25520500.0
4511.0,9438.0,0.23707,-25520250.0
4502.0,9466.0,0.23466,-25520000.0
4501.0,9418.0,0.23625,-25519750.0
4516.0,9425.0,0.23832,-25519500.0
4492.0,9448.0,0.23377,-25519250.0
4506.0,9397.0,0.23781,-25519000.0
4535.0,9437.0,0.24082,-25518750.0
4541.0,9377.0,0.24402,-25518500.0
4555.0,9431.0,0.24415,-25518250.0
4562.0,9465.0,0.24395,-25518000.0
4557.0,9439.0,0.24416,-25517750.0
4588.0,9379.0,0.25129,-25517500.0
4593.0,9433.0,0.24996,-25517250.0
4631.0,9395.0,0.25737,-25517000.0
4623.0,9387.0,0.25644,-25516750.0
4655.0,9390.0,0.26131,-25516500.0
4673.0,9455.0,0.26147,-25516250.0
4660.0,9426.0,0.26063,-25516000.0
4714.0,9453.0,0.26788,-25515750.0
4728.0,9442.0,0.2705,-25515500.0
4788.0,9384.0,0.28232,-25515250.0
4780.0,9371.0,0.28165,-25515000.0
4774.0,9393.0,0.27974,-25514750.0
4801.0,9366.0,0.28516,-25514500.0
4826.0,9361.0,0.2893,-25514250.0
4835.0,9395.0,0.28917,-25514000.0
4839.0,9391.0,0.28997,-25513750.0
4871.0,9429.0,0.29322,-25513500.0
4899.0,9387.0,0.29952,-25513250.0
4912.0,9424.0,0.29981,-25513000.0
4962.0,9409.0,0.30829,-25512750.0
4945.0,9434.0,0.30446,-25512500.0
4939.0,9472.0,0.30176,-25512250.0
4981.0,9435.0,0.30999,-25512000.0
4991.0,9458.0,0.31044,-25511750.0
5022.0,9455.0,0.31537,-25511500.0
5016.0,9489.0,0.3128,-25511250.0
5015.0,9472.0,0.31346,-25511000.0
5016.0,9494.0,0.31256,-25510750.0
5055.0,9471.0,0.31967,-25510500.0
5034.0,9508.0,0.31464,-25510250.0
5009.0,9476.0,0.31235,-25510000.0
5055.0,9478.0,0.31933,-25509750.0
5055.0,9499.0,0.3183,-25509500.0
5036.0,9495.0,0.31558,-25509250.0
5030.0,9464.0,0.31616,-25509000.0
5020.0,9475.0,0.31409,-25508750.0
5029.0,9541.0,0.3123,-25508500.0
5034.0,9520.0,0.31407,-25508250.0
5001.0,9503.0,0.30983,-25508000.0
5015.0,9527.0,0.31083,-25507750.0
5012.0,9497.0,0.3118,-25507500.0
4971.0,9536.0,0.30369,-25507250.0
4966.0,9501.0,0.30455,-25507000.0
4958.0,9561.0,0.30056,-25506750.0
4924.0,9524.0,0.29707,-25506500.0
4940.0,9537.0,0.29892,-25506250.0
4897.0,9577.0,0.29059,-25506000.0
4893.0,9575.0,0.29007,-25505750.0
4856.0,9546.0,0.28571,-25505500.0
4843.0,9584.0,0.2821,-25505250.0
4840.0,9563.0,0.28255,-25505000.0
4784.0,9541.0,0.27496,-25504750.0
4780.0,9510.0,0.27565,-25504500.0
4716.0,9572.0,0.26335,-25504250.0
4702.0,9509.0,0.26375,-25504000.0
4694.0,9482.0,0.26361,-25503750.0
4668.0,9512.0,0.25842,-25503500.0
4645.0,9483.0,0.25604,-25503250.0
4654.0,9511.0,0.25632,-25503000.0
4613.0,9466.0,0.25177,-25502750.0
4577.0,9446.0,0.24698,-25502500.0
4598.0,9449.0,0.25012,-25502250.0
4554.0,9461.0,0.24286,-25502000.0
4550.0,9435.0,0.24322,-25501750.0
4515.0,9426.0,0.23813,-25501500.0
4524.0,9422.0,0.23968,-25501250.0
4509.0,9427.0,0.23716,-25501000.0
4535.0,9427.0,0.2412,-25500750.0
4496.0,9412.0,0.2357,-25500500.0
4507.0,9409.0,0.23752,-25500250.0
4487.0,9368.0,0.23591,-25500000.0
4535.0,9440.0,0.24071,-25499750.0
4491.0,9433.0,0.23415,-25499500.0
4491.0,9418.0,0.2347,-25499250.0
4513.0,9385.0,0.23934,-25499000.0
4495.0,9356.0,0.23761,-25498750.0
4519.0,9362.0,0.24115,-25498500.0
4505.0,9350.0,0.2394,-25498250.0
4521.0,9323.0,0.24294,-25498000.0
4517.0,9341.0,0.24163,-25497750.0
4530.0,9298.0,0.24533,-25497500.0
4564.0,9357.0,0.24839,-25497250.0
4520.0,9280.0,0.24444,-25497000.0
4595.0,9346.0,0.25369,-25496750.0
4589.0,9359.0,0.25223,-25496500.0
4589.0,9330.0,0.25339,-25496250.0
4631.0,9355.0,0.25898,-25496000.0
4640.0,9337.0,0.26113,-25495750.0
4689.0,9342.0,0.26863,-25495500.0
4694.0,9350.0,0.26907,-25495250.0
4741.0,9351.0,0.27641,-25495000.0
4753.0,9332.0,0.27912,-25494750.0
4780.0,9345.0,0.2828,-25494500.0
4785.0,9393.0,0.28146,-25494250.0
4814.0,9402.0,0.28558,-25494000.0
4825.0,9353.0,0.2895,-25493750.0
4854.0,9399.0,0.29195,-25493500.0
4833.0,9377.0,0.28967,-25493250.0
4881.0,9371.0,0.29745,-25493000.0
4875.0,9391.0,0.29559,-25492750.0
4924.0,9423.0,0.30172,-25492500.0
4907.0,9372.0,0.30147,-25492250.0
4920.0,9362.0,0.30398,-25492000.0
4928.0,9370.0,0.30485,-25491750.0
4923.0,9315.0,0.30671,-25491500.0
4957.0,9344.0,0.31065,-25491250.0
4928.0,9306.0,0.30794,-25491000.0
4979.0,9373.0,0.31269,-25490750.0
4946.0,9372.0,0.30757,-25490500.0
4988.0,9349.0,0.31528,-25490250.0
4970.0,9333.0,0.31324,-25490000.0
4985.0,9365.0,0.31402,-25489750.0
4978.0,9372.0,0.31258,-25489500.0
4970.0,9328.0,0.31348,-25489250.0
4959.0,9309.0,0.31269,-25489000.0
4987.0,9360.0,0.31458,-25488750.0
4951.0,9374.0,0.30826,-25488500.0
4957.0,9345.0,0.3106,-25488250.0
4943.0,9309.0,0.31016,-25488000.0
4918.0,9333.0,0.30505,-25487750.0
4917.0,9317.0,0.30567,-25487500.0
4919.0,9340.0,0.30487,-25487250.0
4860.0,9305.0,0.29723,-25487000.0
4882.0,9311.0,0.30043,-25486750.0
4827.0,9349.0,0.29,-25486500.0
4836.0,9320.0,0.29274,-25486250.0
4804.0,9330.0,0.28724,-25486000.0
4823.0,9291.0,0.29203,-25485750.0
4790.0,9302.0,0.2863,-25485500.0
4756.0,9302.0,0.28092,-25485250.0
4744.0,9292.0,0.27947,-25485000.0
4706.0,9281.0,0.27392,-25484750.0
