sum_1,sum_2,norm,scan
4613.0,9467.0,0.13737,24980000.0
4619.0,9505.0,0.13751,24980200.0
4633.0,9484.0,0.1405,24980400.0
4639.0,9478.0,0.14172,24980600.0
4675.0,9524.0,0.1469,24980800.0
4686.0,9511.0,0.14918,24981000.0
4680.0,9480.0,0.14894,24981200.0
4684.0,9460.0,0.15018,24981400.0
4685.0,9505.0,0.14916,24981600.0
4695.0,9501.0,0.15103,24981800.0
4715.0,9522.0,0.154,24982000.0
4723.0,9493.0,0.1562,24982200.0
4733.0,9569.0,0.15587,24982400.0
4722.0,9539.0,0.15476,24982600.0
4748.0,9603.0,0.15756,24982800.0
4748.0,9572.0,0.15841,24983000.0
4741.0,9572.0,0.15719,24983200.0
4784.0,9545.0,0.16547,24983400.0
4784.0,9546.0,0.16544,24983600.0
4757.0,9543.0,0.16079,24983800.0
4751.0,9498.0,0.16101,24984000.0
4771.0,9596.0,0.16174,24984200.0
4788.0,9548.0,0.16608,24984400.0
4816.0,9542.0,0.17117,24984600.0
4800.0,9515.0,0.16916,24984800.0
4776.0,9554.0,0.16381,24985000.0
4817.0,9579.0,0.17024,24985200.0
4793.0,9545.0,0.16705,24985400.0
4814.0,9650.0,0.16764,24985600.0
4818.0,9581.0,0.17035,24985800.0
4828.0,9549.0,0.17306,24986000.0
4800.0,9530.0,0.16872,24986200.0
4802.0,9557.0,0.16827,24986400.0
4784.0,9569.0,0.16478,24986600.0
4794.0,9570.0,0.16649,24986800.0
4803.0,9524.0,0.16942,24987000.0
4805.0,9542.0,0.16924,24987200.0
4806.0,9546.0,0.1693,24987400.0
4833.0,9627.0,0.17159,24987600.0
4822.0,9601.0,0.17046,24987800.0
4817.0,9579.0,0.17024,24988000.0
4778.0,9563.0,0.1639,24988200.0
4819.0,9633.0,0.169,24988400.0
4807.0,9580.0,0.16847,24988600.0
4810.0,9580.0,0.16899,24988800.0
4793.0,9600.0,0.16545,24989000.0
4822.0,9701.0,0.16755,24989200.0
4826.0,9703.0,0.16817,24989400.0
4786.0,9628.0,0.16344,24989600.0
4750.0,9630.0,0.15717,24989800.0
4758.0,9598.0,0.15943,24990000.0
4746.0,9627.0,0.15656,24990200.0
4750.0,9603.0,0.1579,24990400.0
4752.0,9594.0,0.1585,24990600.0
4701.0,9587.0,0.14982,24990800.0
4686.0,9521.0,0.14892,24991000.0
4694.0,9527.0,0.15017,24991200.0
4670.0,9548.0,0.14541,24991400.0
4673.0,9521.0,0.14663,24991600.0
4659.0,9525.0,0.14406,24991800.0
4621.0,9504.0,0.13789,24992000.0
4620.0,9497.0,0.13788,24992200.0
4634.0,9499.0,0.14031,24992400.0
4658.0,9529.0,0.14379,24992600.0
4655.0,9506.0,0.14384,24992800.0
4654.0,9509.0,0.14359,24993000.0
4635.0,9524.0,0.13987,24993200.0
4649.0,9490.0,0.14319,24993400.0
4582.0,9455.0,0.13215,24993600.0
4616.0,9412.0,0.13927,24993800.0
4631.0,9502.0,0.1397,24994000.0
4639.0,9464.0,0.14207,24994200.0
4641.0,9540.0,0.14053,24994400.0
4614.0,9468.0,0.13753,24994600.0
4572.0,9486.0,0.12965,24994800.0
4580.0,9468.0,0.13149,24995000.0
4586.0,9497.0,0.13187,24995200.0
4608.0,9516.0,0.13531,24995400.0
4598.0,9479.0,0.13442,24995600.0
4621.0,9493.0,0.13816,24995800.0
4594.0,9513.0,0.13291,24996000.0
4597.0,9541.0,0.13278,24996200.0
4605.0,9549.0,0.134,24996400.0
4574.0,9555.0,0.12843,24996600.0
4596.0,9601.0,0.13123,24996800.0
4566.0,9529.0,0.12761,24997000.0
4574.0,9520.0,0.12923,24997200.0
4604.0,9540.0,0.13404,24997400.0
4602.0,9553.0,0.13338,24997600.0
4584.0,9528.0,0.1308,24997800.0
4565.0,9506.0,0.12796,24998000.0
4561.0,9482.0,0.12779,24998200.0
4611.0,9510.0,0.13598,24998400.0
4598.0,9522.0,0.1334,24998600.0
4617.0,9509.0,0.13706,24998800.0
4617.0,9584.0,0.13527,24999000.0
4643.0,9537.0,0.14095,24999200.0
4618.0,9560.0,0.13601,24999400.0
4631.0,9548.0,0.13858,24999600.0
4649.0,9561.0,0.14141,24999800.0
4633.0,9538.0,0.13917,25000000.0
4653.0,9536.0,0.14273,25000200.0
4675.0,9550.0,0.14623,25000400.0
4656.0,9550.0,0.14291,25000600.0
4676.0,9548.0,0.14646,25000800.0
4701.0,9532.0,0.15126,25001000.0
4697.0,9557.0,0.1499,25001200.0
4690.0,9553.0,0.14878,25001400.0
4735.0,9579.0,0.15595,25001600.0
4733.0,9572.0,0.15579,25001800.0
4721.0,9571.0,0.15373,25002000.0
4758.0,9615.0,0.15896,25002200.0
4731.0,9568.0,0.15555,25002400.0
4749.0,9596.0,0.15792,25002600.0
4721.0,9598.0,0.153,25002800.0
