sum_1,sum_2,norm,scan
4702.0,9655.0,0.14234,-25020000.0
4727.0,9711.0,0.14526,-25019800.0
4723.0,9650.0,0.1461,-25019600.0
4735.0,9624.0,0.14885,-25019400.0
4747.0,9636.0,0.15063,-25019200.0
4762.0,9630.0,0.15339,-25019000.0
4776.0,9703.0,0.15387,-25018800.0
4775.0,9644.0,0.15527,-25018600.0
4777.0,9688.0,0.15444,-25018400.0
4770.0,9643.0,0.15443,-25018200.0
4760.0,9607.0,0.15366,-25018000.0
4750.0,9555.0,0.1533,-25017800.0
4772.0,9615.0,0.15554,-25017600.0
4793.0,9626.0,0.15889,-25017400.0
4806.0,9613.0,0.16152,-25017200.0
4784.0,9569.0,0.1589,-25017000.0
4782.0,9601.0,0.15766,-25016800.0
4809.0,9649.0,0.16103,-25016600.0
4835.0,9657.0,0.16531,-25016400.0
4822.0,9641.0,0.16351,-25016200.0
4849.0,9601.0,0.16938,-25016000.0
4841.0,9657.0,0.16635,-25015800.0
4862.0,9691.0,0.16899,-25015600.0
4842.0,9666.0,0.16626,-25015400.0
4853.0,9643.0,0.16884,-25015200.0
4833.0,9637.0,0.16554,-25015000.0
4838.0,9672.0,0.1654,-25014800.0
4836.0,9648.0,0.16574,-25014600.0
4864.0,9697.0,0.16916,-25014400.0
4862.0,9680.0,0.16931,-25014200.0
4867.0,9651.0,0.17103,-25014000.0
4849.0,9633.0,0.16843,-25013800.0
4854.0,9630.0,0.16939,-25013600.0
4863.0,9587.0,0.17224,-25013400.0
4834.0,9584.0,0.16725,-25013200.0
4860.0,9648.0,0.1699,-25013000.0
4855.0,9607.0,0.17025,-25012800.0
4848.0,9555.0,0.17057,-25012600.0
4820.0,9601.0,0.16431,-25012400.0
4847.0,9567.0,0.17004,-25012200.0
4845.0,9576.0,0.16942,-25012000.0
4825.0,9561.0,0.16634,-25011800.0
4852.0,9555.0,0.17128,-25011600.0
4840.0,9615.0,0.16739,-25011400.0
4850.0,9565.0,0.17062,-25011200.0
4845.0,9562.0,0.16983,-25011000.0
4824.0,9582.0,0.16556,-25010800.0
4824.0,9609.0,0.16478,-25010600.0
4821.0,9625.0,0.16379,-25010400.0
4797.0,9619.0,0.15978,-25010200.0
4772.0,9569.0,0.15679,-25010000.0
4799.0,9600.0,0.16066,-25009800.0
4808.0,9606.0,0.16207,-25009600.0
4793.0,9548.0,0.16108,-25009400.0
4780.0,9646.0,0.15609,-25009200.0
4806.0,9608.0,0.16166,-25009000.0
4782.0,9643.0,0.15652,-25008800.0
4769.0,9621.0,0.15485,-25008600.0
4770.0,9592.0,0.15581,-25008400.0
4725.0,9543.0,0.14921,-25008200.0
4729.0,9581.0,0.14892,-25008000.0
4745.0,9567.0,0.1521,-25007800.0
4716.0,9552.0,0.14739,-25007600.0
4719.0,9556.0,0.14782,-25007400.0
4701.0,9503.0,0.14601,-25007200.0
4733.0,9541.0,0.15068,-25007000.0
4745.0,9610.0,0.15096,-25006800.0
4692.0,9510.0,0.14423,-25006600.0
4695.0,9518.0,0.14455,-25006400.0
4684.0,9541.0,0.14202,-25006200.0
4678.0,9549.0,0.14077,-25006000.0
4702.0,9626.0,0.14306,-25005800.0
4665.0,9628.0,0.13657,-25005600.0
4662.0,9604.0,0.13662,-25005400.0
4656.0,9606.0,0.13552,-25005200.0
4643.0,9573.0,0.13402,-25005000.0
4640.0,9555.0,0.13392,-25004800.0
4665.0,9551.0,0.13842,-25004600.0
4675.0,9586.0,0.13933,-25004400.0
4657.0,9574.0,0.13646,-25004200.0
4665.0,9537.0,0.13877,-25004000.0
4670.0,9530.0,0.13982,-25003800.0
4656.0,9567.0,0.13645,-25003600.0
4689.0,9535.0,0.14306,-25003400.0
4665.0,9561.0,0.13818,-25003200.0
4669.0,9531.0,0.13962,-25003000.0
4652.0,9564.0,0.13582,-25002800.0
4623.0,9545.0,0.13116,-25002600.0
4639.0,9543.0,0.13403,-25002400.0
4648.0,9509.0,0.13644,-25002200.0
4615.0,9497.0,0.13085,-25002000.0
4658.0,9523.0,0.13787,-25001800.0
4643.0,9548.0,0.13462,-25001600.0
4660.0,9457.0,0.13986,-25001400.0
4678.0,9507.0,0.14182,-25001200.0
4705.0,9553.0,0.14543,-25001000.0
4711.0,9510.0,0.1476,-25000800.0
4687.0,9470.0,0.14436,-25000600.0
4696.0,9468.0,0.14603,-25000400.0
4684.0,9483.0,0.14349,-25000200.0
4713.0,9472.0,0.14896,-25000000.0
4703.0,9500.0,0.14644,-24999800.0
4723.0,9480.0,0.15054,-24999600.0
4681.0,9465.0,0.14342,-24999400.0
4723.0,9528.0,0.14926,-24999200.0
4684.0,9522.0,0.1425,-24999000.0
4704.0,9504.0,0.14651,-24998800.0
4746.0,9515.0,0.15368,-24998600.0
4743.0,9520.0,0.15301,-24998400.0
4742.0,9541.0,0.15227,-24998200.0
4729.0,9492.0,0.15128,-24998000.0
4742.0,9465.0,0.15434,-24997800.0
4769.0,9507.0,0.15799,-24997600.0
4769.0,9490.0,0.15847,-24997400.0
4795.0,9479.0,0.16342,-24997200.0
4736.0,9461.0,0.15338,-24997000.0
4795.0,9442.0,0.16451,-24996800.0
4845.0,9530.0,0.1708,-24996600.0
4820.0,9508.0,0.16702,-24996400.0
4815.0,9508.0,0.16613,-24996200.0
4797.0,9453.0,0.16454,-24996000.0
4838.0,9525.0,0.16971,-24995800.0
4844.0,9528.0,0.17068,-24995600.0
4849.0,9556.0,0.17072,-24995400.0
4852.0,9548.0,0.17149,-24995200.0
4825.0,9529.0,0.16729,-24995000.0
4841.0,9530.0,0.17009,-24994800.0
4840.0,9500.0,0.17082,-24994600.0
4817.0,9506.0,0.16655,-24994400.0
4848.0,9573.0,0.17003,-24994200.0
4862.0,9583.0,0.17219,-24994000.0
4867.0,9617.0,0.17204,-24993800.0
4859.0,9508.0,0.17395,-24993600.0
4836.0,9495.0,0.17026,-24993400.0
4858.0,9508.0,0.17377,-24993200.0
4897.0,9532.0,0.17994,-24993000.0
4842.0,9506.0,0.17099,-24992800.0
4874.0,9574.0,0.17457,-24992600.0
4836.0,9532.0,0.16914,-24992400.0
4841.0,9544.0,0.16967,-24992200.0
4825.0,9513.0,0.16776,-24992000.0
4797.0,9524.0,0.16247,-24991800.0
4803.0,9534.0,0.16325,-24991600.0
4821.0,9530.0,0.16655,-24991400.0
4849.0,9605.0,0.16926,-24991200.0
4804.0,9532.0,0.16348,-24991000.0
4785.0,9504.0,0.16092,-24990800.0
4799.0,9490.0,0.16381,-24990600.0
4810.0,9551.0,0.16399,-24990400.0
4810.0,9503.0,0.16539,-24990200.0
4791.0,9490.0,0.16239,-24990000.0
4791.0,9554.0,0.16056,-24989800.0
4809.0,9594.0,0.16258,-24989600.0
4798.0,9564.0,0.16151,-24989400.0
4737.0,9549.0,0.15117,-24989200.0
4759.0,9613.0,0.15332,-24989000.0
4772.0,9529.0,0.1579,-24988800.0
4748.0,9528.0,0.15368,-24988600.0
4759.0,9569.0,0.15451,-24988400.0
4716.0,9525.0,0.1481,-24988200.0
4730.0,9558.0,0.1497,-24988000.0
4736.0,9590.0,0.14991,-24987800.0
4735.0,9574.0,0.15016,-24987600.0
4730.0,9551.0,0.14989,-24987400.0
4736.0,9604.0,0.14955,-24987200.0
4753.0,9603.0,0.15254,-24987000.0
4752.0,9641.0,0.15136,-24986800.0
4706.0,9649.0,0.14318,-24986600.0
4702.0,9601.0,0.14368,-24986400.0
4734.0,9581.0,0.1498,-24986200.0
4725.0,9563.0,0.14869,-24986000.0
4743.0,9569.0,0.1517,-24985800.0
4704.0,9564.0,0.14497,-24985600.0
4672.0,9569.0,0.13922,-24985400.0
4702.0,9562.0,0.14467,-24985200.0
4708.0,9576.0,0.14537,-24985000.0
4687.0,9567.0,0.1419,-24984800.0
4695.0,9617.0,0.14206,-24984600.0
4665.0,9571.0,0.13794,-24984400.0
4676.0,9606.0,0.13902,-24984200.0
4690.0,9565.0,0.14248,-24984000.0
4678.0,9602.0,0.13946,-24983800.0
4678.0,9584.0,0.1399,-24983600.0
4707.0,9568.0,0.14539,-24983400.0
4683.0,9551.0,0.1416,-24983200.0
4644.0,9523.0,0.13539,-24983000.0
4684.0,9563.0,0.14147,-24982800.0
4682.0,9631.0,0.13945,-24982600.0
4675.0,9572.0,0.13967,-24982400.0
4666.0,9589.0,0.13768,-24982200.0
4680.0,9576.0,0.14045,-24982000.0
4708.0,9680.0,0.14276,-24981800.0
4697.0,9661.0,0.14133,-24981600.0
4693.0,9630.0,0.14139,-24981400.0
4718.0,9718.0,0.14354,-24981200.0
4689.0,9664.0,0.13987,-24981000.0
4704.0,9616.0,0.14365,-24980800.0
4726.0,9631.0,0.1471,-24980600.0
4669.0,9601.0,0.13791,-24980400.0
4676.0,9589.0,0.13943,-24980200.0
4703.0,9526.0,0.14577,-24980000.0
4713.0,9539.0,0.1472,-25020000.0
4724.0,9556.0,0.1487,-25019800.0
4706.0,9534.0,0.14609,-25019600.0
4733.0,9534.0,0.15087,-25019400.0
4721.0,9564.0,0.14796,-25019200.0
4756.0,9558.0,0.15428,-25019000.0
4744.0,9540.0,0.15265,-25018800.0
4743.0,9594.0,0.15103,-25018600.0
4784.0,9615.0,0.15763,-25018400.0
4775.0,9580.0,0.15702,-25018200.0
4760.0,9587.0,0.1542,-25018000.0
4750.0,9558.0,0.15322,-25017800.0
4781.0,9579.0,0.1581,-25017600.0
4794.0,9548.0,0.16126,-25017400.0
4788.0,9577.0,0.15938,-25017200.0
4760.0,9544.0,0.15537,-25017000.0
4819.0,9568.0,0.16508,-25016800.0
4798.0,9574.0,0.16122,-25016600.0
4814.0,9538.0,0.16508,-25016400.0
4820.0,9569.0,0.16523,-25016200.0
4820.0,9548.0,0.16584,-25016000.0
4870.0,9608.0,0.17284,-25015800.0
4845.0,9581.0,0.16927,-25015600.0
4818.0,9620.0,0.16341,-25015400.0
4852.0,9572.0,0.17077,-25015200.0
4843.0,9629.0,0.16751,-25015000.0
4868.0,9642.0,0.17147,-25014800.0
4860.0,9620.0,0.17073,-25014600.0
4852.0,9616.0,0.16946,-25014400.0
4860.0,9632.0,0.17038,-25014200.0
4868.0,9589.0,0.17306,-25014000.0
4849.0,9558.0,0.17066,-25013800.0
4820.0,9566.0,0.16532,-25013600.0
4881.0,9670.0,0.17288,-25013400.0
4841.0,9596.0,0.16812,-25013200.0
4850.0,9623.0,0.1689,-25013000.0
4843.0,9649.0,0.16693,-25012800.0
4829.0,9584.0,0.16637,-25012600.0
4861.0,9632.0,0.17055,-25012400.0
4856.0,9594.0,0.17081,-25012200.0
4857.0,9593.0,0.17101,-25012000.0
4818.0,9593.0,0.16419,-25011800.0
4838.0,9646.0,0.16615,-25011600.0
4869.0,9641.0,0.17167,-25011400.0
4862.0,9644.0,0.17037,-25011200.0
4850.0,9588.0,0.16994,-25011000.0
4846.0,9607.0,0.16867,-25010800.0
4853.0,9588.0,0.17046,-25010600.0
4837.0,9597.0,0.1674,-25010400.0
4812.0,9574.0,0.16368,-25010200.0
4798.0,9565.0,0.16148,-25010000.0
4795.0,9573.0,0.16072,-25009800.0
4808.0,9613.0,0.16187,-25009600.0
4796.0,9549.0,0.16158,-25009400.0
4792.0,9581.0,0.15997,-25009200.0
4774.0,9514.0,0.15868,-25009000.0
4781.0,9614.0,0.15713,-25008800.0
4742.0,9611.0,0.15041,-25008600.0
4741.0,9605.0,0.15039,-25008400.0
4705.0,9580.0,0.14474,-25008200.0
4729.0,9585.0,0.14882,-25008000.0
4747.0,9607.0,0.15139,-25007800.0
4724.0,9605.0,0.14742,-25007600.0
4735.0,9585.0,0.14987,-25007400.0
4707.0,9582.0,0.14504,-25007200.0
4698.0,9583.0,0.14343,-25007000.0
4692.0,9586.0,0.14231,-25006800.0
4672.0,9547.0,0.13976,-25006600.0
4653.0,9511.0,0.13728,-25006400.0
4660.0,9548.0,0.13761,-25006200.0
4645.0,9558.0,0.13473,-25006000.0
4666.0,9548.0,0.13867,-25005800.0
4655.0,9536.0,0.13702,-25005600.0
4646.0,9526.0,0.13567,-25005400.0
4675.0,9571.0,0.13969,-25005200.0
4692.0,9554.0,0.14311,-25005000.0
4660.0,9555.0,0.13744,-25004800.0
4683.0,9577.0,0.14095,-25004600.0
4656.0,9528.0,0.13739,-25004400.0
4661.0,9529.0,0.13825,-25004200.0
4626.0,9491.0,0.13295,-25004000.0
4635.0,9485.0,0.1347,-25003800.0
4617.0,9507.0,0.13098,-25003600.0
4664.0,9553.0,0.1382,-25003400.0
4649.0,9511.0,0.13657,-25003200.0
4632.0,9532.0,0.13305,-25003000.0
4690.0,9561.0,0.14258,-25002800.0
4668.0,9548.0,0.13903,-25002600.0
4668.0,9543.0,0.13915,-25002400.0
4641.0,9543.0,0.13438,-25002200.0
4670.0,9542.0,0.13953,-25002000.0
4674.0,9518.0,0.14083,-25001800.0
4659.0,9515.0,0.13824,-25001600.0
4668.0,9514.0,0.13987,-25001400.0
4642.0,9482.0,0.13602,-25001200.0
4656.0,9517.0,0.13766,-25001000.0
4680.0,9591.0,0.14008,-25000800.0
4657.0,9577.0,0.13639,-25000600.0
4712.0,9599.0,0.14548,-25000400.0
4700.0,9576.0,0.14396,-25000200.0
4725.0,9613.0,0.14739,-25000000.0
4721.0,9568.0,0.14786,-24999800.0
4719.0,9565.0,0.14758,-24999600.0
4703.0,9511.0,0.14616,-24999400.0
4754.0,9580.0,0.15333,-24999200.0
4755.0,9577.0,0.15359,-24999000.0
4754.0,9557.0,0.15395,-24998800.0
4731.0,9552.0,0.15004,-24998600.0
4730.0,9564.0,0.14954,-24998400.0
4742.0,9623.0,0.1501,-24998200.0
4750.0,9598.0,0.15215,-24998000.0
4776.0,9559.0,0.15777,-24997800.0
4768.0,9620.0,0.1547,-24997600.0
4768.0,9621.0,0.15468,-24997400.0
4831.0,9615.0,0.16582,-24997200.0
4789.0,9611.0,0.15861,-24997000.0
4798.0,9561.0,0.16159,-24996800.0
4784.0,9627.0,0.1573,-24996600.0
4827.0,9612.0,0.16521,-24996400.0
4826.0,9589.0,0.1657,-24996200.0
4827.0,9591.0,0.16582,-24996000.0
4845.0,9601.0,0.16868,-24995800.0
4856.0,9629.0,0.16977,-24995600.0
4857.0,9632.0,0.16985,-24995400.0
4845.0,9648.0,0.1673,-24995200.0
4833.0,9614.0,0.1662,-24995000.0
4825.0,9619.0,0.16466,-24994800.0
4839.0,9614.0,0.16725,-24994600.0
4850.0,9610.0,0.16928,-24994400.0
4847.0,9617.0,0.16855,-24994200.0
4835.0,9590.0,0.16725,-24994000.0
4881.0,9668.0,0.17294,-24993800.0
4865.0,9661.0,0.17039,-24993600.0
