sum_1,sum_2,norm,scan
3536.0,9461.0,0.10105,6835010000.0
3523.0,9420.0,0.09969,6835012000.0
3546.0,9393.0,0.10363,6835014000.0
3566.0,9377.0,0.10696,6835016000.0
3561.0,9375.0,0.10623,6835018000.0
3535.0,9374.0,0.10224,6835020000.0
3550.0,9408.0,0.10401,6835022000.0
3554.0,9395.0,0.10483,6835024000.0
3588.0,9392.0,0.11009,6835026000.0
3591.0,9429.0,0.10993,6835028000.0
3570.0,9408.0,0.10707,6835030000.0
3576.0,9394.0,0.10822,6835032000.0
3597.0,9479.0,0.11,6835034000.0
3548.0,9418.0,0.10354,6835036000.0
3579.0,9450.0,0.10775,6835038000.0
3599.0,9444.0,0.11089,6835040000.0
3570.0,9459.0,0.10624,6835042000.0
3593.0,9465.0,0.10963,6835044000.0
3603.0,9467.0,0.11111,6835046000.0
3609.0,9430.0,0.11265,6835048000.0
3585.0,9443.0,0.10878,6835050000.0
3599.0,9473.0,0.1104,6835052000.0
3629.0,9513.0,0.11426,6835054000.0
3612.0,9465.0,0.11251,6835056000.0
3642.0,9469.0,0.11699,6835058000.0
3632.0,9478.0,0.11531,6835060000.0
3615.0,9476.0,0.11278,6835062000.0
3637.0,9426.0,0.11699,6835064000.0
3614.0,9439.0,0.11326,6835066000.0
3637.0,9437.0,0.1168,6835068000.0
3643.0,9457.0,0.11735,6835070000.0
3641.0,9459.0,0.11701,6835072000.0
3643.0,9466.0,0.11719,6835074000.0
3670.0,9461.0,0.12138,6835076000.0
3673.0,9501.0,0.1211,6835078000.0
3654.0,9487.0,0.11848,6835080000.0
3670.0,9499.0,0.12068,6835082000.0
3680.0,9483.0,0.12249,6835084000.0
3683.0,9455.0,0.12346,6835086000.0
3686.0,9455.0,0.12392,6835088000.0
3704.0,9486.0,0.12606,6835090000.0
3701.0,9490.0,0.12553,6835092000.0
3680.0,9441.0,0.12327,6835094000.0
3706.0,9501.0,0.12607,6835096000.0
3719.0,9421.0,0.1296,6835098000.0
3727.0,9440.0,0.13044,6835100000.0
3726.0,9464.0,0.12981,6835102000.0
3726.0,9425.0,0.13059,6835104000.0
3745.0,9478.0,0.13242,6835106000.0
3750.0,9441.0,0.13392,6835108000.0
3752.0,9466.0,0.13372,6835110000.0
3765.0,9444.0,0.13614,6835112000.0
3747.0,9436.0,0.13357,6835114000.0
3757.0,9382.0,0.13621,6835116000.0
3761.0,9416.0,0.13611,6835118000.0
3747.0,9425.0,0.13379,6835120000.0
3772.0,9446.0,0.13717,6835122000.0
3784.0,9476.0,0.13836,6835124000.0
3785.0,9438.0,0.13931,6835126000.0
3768.0,9423.0,0.13704,6835128000.0
3792.0,9393.0,0.14135,6835130000.0
3824.0,9406.0,0.14596,6835132000.0
3813.0,9490.0,0.14245,6835134000.0
3815.0,9463.0,0.14333,6835136000.0
3820.0,9495.0,0.1434,6835138000.0
3839.0,9467.0,0.14688,6835140000.0
3849.0,9416.0,0.14956,6835142000.0
3852.0,9497.0,0.14818,6835144000.0
3849.0,9492.0,0.14784,6835146000.0
3839.0,9460.0,0.14704,6835148000.0
3828.0,9452.0,0.14555,6835150000.0
3854.0,9445.0,0.14966,6835152000.0
3858.0,9427.0,0.15068,6835154000.0
3855.0,9479.0,0.14904,6835156000.0
3862.0,9476.0,0.15017,6835158000.0
3866.0,9467.0,0.15098,6835160000.0
3833.0,9465.0,0.14602,6835162000.0
3864.0,9457.0,0.1509,6835164000.0
3864.0,9549.0,0.14882,6835166000.0
3858.0,9496.0,0.14911,6835168000.0
3875.0,9510.0,0.15136,6835170000.0
3859.0,9509.0,0.14897,6835172000.0
3874.0,9502.0,0.15139,6835174000.0
3863.0,9466.0,0.15055,6835176000.0
3876.0,9491.0,0.15194,6835178000.0
3872.0,9474.0,0.15173,6835180000.0
3895.0,9456.0,0.15563,6835182000.0
3899.0,9541.0,0.15425,6835184000.0
3888.0,9492.0,0.15373,6835186000.0
3898.0,9435.0,0.15659,6835188000.0
3862.0,9432.0,0.15117,6835190000.0
3822.0,9451.0,0.14466,6835192000.0
3823.0,9512.0,0.14348,6835194000.0
3806.0,9460.0,0.14203,6835196000.0
3798.0,9501.0,0.13995,6835198000.0
3802.0,9509.0,0.14038,6835200000.0
3801.0,9535.0,0.13968,6835202000.0
3787.0,9550.0,0.13728,6835204000.0
3790.0,9507.0,0.13862,6835206000.0
3792.0,9546.0,0.13811,6835208000.0
3841.0,9553.0,0.14529,6835210000.0
3782.0,9514.0,0.13727,6835212000.0
3810.0,9527.0,0.1412,6835214000.0
3805.0,9504.0,0.14094,6835216000.0
3814.0,9463.0,0.14318,6835218000.0
3770.0,9517.0,0.1354,6835220000.0
3807.0,9485.0,0.14165,6835222000.0
3796.0,9445.0,0.14084,6835224000.0
3770.0,9470.0,0.13636,6835226000.0
3771.0,9497.0,0.13596,6835228000.0
3746.0,9462.0,0.13289,6835230000.0
3739.0,9435.0,0.13237,6835232000.0
3729.0,9440.0,0.13075,6835234000.0
3770.0,9472.0,0.13632,6835236000.0
3749.0,9464.0,0.1333,6835238000.0
3686.0,9423.0,0.12452,6835240000.0
3680.0,9438.0,0.12333,6835242000.0
3666.0,9431.0,0.12132,6835244000.0
3660.0,9471.0,0.11968,6835246000.0
3648.0,9488.0,0.11756,6835248000.0
3644.0,9508.0,0.1166,6835250000.0
3649.0,9473.0,0.11798,6835252000.0
3645.0,9524.0,0.11647,6835254000.0
3652.0,9550.0,0.11707,6835256000.0
3663.0,9515.0,0.11934,6835258000.0
3655.0,9509.0,0.11824,6835260000.0
3688.0,9477.0,0.12381,6835262000.0
3660.0,9523.0,0.11874,6835264000.0
3671.0,9468.0,0.1214,6835266000.0
3657.0,9443.0,0.11973,6835268000.0
3651.0,9521.0,0.11743,6835270000.0
3640.0,9453.0,0.11697,6835272000.0
3645.0,9452.0,0.11775,6835274000.0
