sum_1,sum_2,norm,scan
3743.0,10161.0,0.11974,6835010000.0
3741.0,10161.0,0.11946,6835012000.0
3776.0,10094.0,0.12542,6835014000.0
3764.0,10117.0,0.12336,6835016000.0
3754.0,10065.0,0.12286,6835018000.0
3723.0,10035.0,0.11905,6835020000.0
3773.0,10069.0,0.12543,6835022000.0
3768.0,10060.0,0.1249,6835024000.0
3772.0,10040.0,0.1258,6835026000.0
3733.0,10061.0,0.12001,6835028000.0
3738.0,10102.0,0.12002,6835030000.0
3725.0,10011.0,0.11973,6835032000.0
3747.0,10063.0,0.12192,6835034000.0
3706.0,9982.0,0.11755,6835036000.0
3720.0,9967.0,0.11977,6835038000.0
3741.0,9996.0,0.12223,6835040000.0
3760.0,9959.0,0.12555,6835042000.0
3764.0,9945.0,0.12636,6835044000.0
3755.0,9949.0,0.12502,6835046000.0
3776.0,9984.0,0.12735,6835048000.0
3771.0,10003.0,0.12631,6835050000.0
3785.0,10020.0,0.12797,6835052000.0
3777.0,9998.0,0.12724,6835054000.0
3783.0,10049.0,0.12718,6835056000.0
3765.0,10037.0,0.12488,6835058000.0
3776.0,10008.0,0.12693,6835060000.0
3780.0,10015.0,0.12736,6835062000.0
3779.0,10006.0,0.12738,6835064000.0
3818.0,9957.0,0.13377,6835066000.0
3825.0,10080.0,0.13245,6835068000.0
3836.0,10001.0,0.13546,6835070000.0
3824.0,10074.0,0.13243,6835072000.0
3822.0,10075.0,0.13213,6835074000.0
3832.0,10040.0,0.13417,6835076000.0
3828.0,9994.0,0.13448,6835078000.0
3862.0,10035.0,0.13845,6835080000.0
3855.0,10067.0,0.13686,6835082000.0
3872.0,10022.0,0.1401,6835084000.0
3881.0,10079.0,0.14024,6835086000.0
3910.0,10110.0,0.14365,6835088000.0
3917.0,10061.0,0.1456,6835090000.0
3904.0,10071.0,0.14359,6835092000.0
3905.0,10089.0,0.14337,6835094000.0
3901.0,10042.0,0.14375,6835096000.0
3902.0,10067.0,0.14339,6835098000.0
3898.0,10066.0,0.14286,6835100000.0
3906.0,10055.0,0.14419,6835102000.0
