sum_1,sum_2,norm,scan
4012.0,9231.0,0.02467,6835040000.0
3979.0,9243.0,0.01846,6835042000.0
4003.0,9236.0,0.02296,6835044000.0
4028.0,9221.0,0.02771,6835046000.0
4013.0,9181.0,0.02509,6835048000.0
4031.0,9141.0,0.0287,6835050000.0
4026.0,9218.0,0.02735,6835052000.0
4011.0,9202.0,0.02461,6835054000.0
4012.0,9132.0,0.02513,6835056000.0
4013.0,9147.0,0.02525,6835058000.0
4005.0,9065.0,0.02411,6835060000.0
4027.0,9134.0,0.02798,6835062000.0
4017.0,9198.0,0.02576,6835064000.0
4017.0,9144.0,0.02603,6835066000.0
4015.0,9096.0,0.02588,6835068000.0
4022.0,9158.0,0.0269,6835070000.0
4034.0,9154.0,0.0292,6835072000.0
4015.0,9161.0,0.02556,6835074000.0
3996.0,9147.0,0.02202,6835076000.0
4008.0,9211.0,0.02401,6835078000.0
4035.0,9278.0,0.02871,6835080000.0
4026.0,9248.0,0.0272,6835082000.0
4055.0,9263.0,0.03251,6835084000.0
4019.0,9274.0,0.02577,6835086000.0
4077.0,9256.0,0.03664,6835088000.0
4081.0,9296.0,0.03711,6835090000.0
4068.0,9279.0,0.03482,6835092000.0
4077.0,9275.0,0.03652,6835094000.0
4119.0,9311.0,0.04401,6835096000.0
4138.0,9352.0,0.04715,6835098000.0
4139.0,9358.0,0.04728,6835100000.0
4162.0,9347.0,0.05158,6835102000.0
4154.0,9370.0,0.04991,6835104000.0
4140.0,9370.0,0.04736,6835106000.0
4170.0,9407.0,0.05247,6835108000.0
4168.0,9397.0,0.0522,6835110000.0
4175.0,9368.0,0.05375,6835112000.0
4190.0,9465.0,0.05551,6835114000.0
4169.0,9400.0,0.05236,6835116000.0
4185.0,9406.0,0.05519,6835118000.0
4181.0,9382.0,0.05471,6835120000.0
4190.0,9356.0,0.05661,6835122000.0
4207.0,9377.0,0.05949,6835124000.0
4203.0,9342.0,0.05914,6835126000.0
4207.0,9358.0,0.05969,6835128000.0
4221.0,9323.0,0.06265,6835130000.0
4231.0,9349.0,0.06418,6835132000.0
4235.0,9400.0,0.06431,6835134000.0
4219.0,9399.0,0.06142,6835136000.0
4218.0,9324.0,0.06209,6835138000.0
4191.0,9308.0,0.0573,6835140000.0
4216.0,9280.0,0.06222,6835142000.0
4238.0,9317.0,0.06585,6835144000.0
4236.0,9364.0,0.06492,6835146000.0
4225.0,9276.0,0.06394,6835148000.0
4265.0,9318.0,0.0708,6835150000.0
4268.0,9327.0,0.07123,6835152000.0
4271.0,9284.0,0.07235,6835154000.0
4273.0,9306.0,0.07243,6835156000.0
4270.0,9312.0,0.0718,6835158000.0
4296.0,9324.0,0.07641,6835160000.0
4300.0,9281.0,0.07776,6835162000.0
4284.0,9331.0,0.07411,6835164000.0
4289.0,9261.0,0.07601,6835166000.0
4296.0,9338.0,0.07622,6835168000.0
4311.0,9323.0,0.07918,6835170000.0
4302.0,9286.0,0.07806,6835172000.0
4315.0,9298.0,0.08029,6835174000.0
4319.0,9248.0,0.08178,6835176000.0
4334.0,9346.0,0.08306,6835178000.0
4325.0,9311.0,0.08194,6835180000.0
4323.0,9347.0,0.08103,6835182000.0
4336.0,9366.0,0.08312,6835184000.0
4333.0,9387.0,0.08226,6835186000.0
4332.0,9337.0,0.08283,6835188000.0
4296.0,9385.0,0.07557,6835190000.0
4324.0,9356.0,0.08108,6835192000.0
4313.0,9314.0,0.07968,6835194000.0
4336.0,9376.0,0.08297,6835196000.0
4328.0,9332.0,0.08217,6835198000.0
4360.0,9287.0,0.08877,6835200000.0
4306.0,9295.0,0.07867,6835202000.0
4306.0,9300.0,0.0786,6835204000.0
4326.0,9320.0,0.08199,6835206000.0
4300.0,9328.0,0.07709,6835208000.0
4326.0,9305.0,0.08221,6835210000.0
4284.0,9364.0,0.07367,6835212000.0
4325.0,9376.0,0.08097,6835214000.0
4293.0,9357.0,0.07541,6835216000.0
4325.0,9369.0,0.08107,6835218000.0
4302.0,9422.0,0.07615,6835220000.0
4266.0,9394.0,0.07,6835222000.0
4286.0,9375.0,0.07389,6835224000.0
4273.0,9375.0,0.07152,6835226000.0
