x0000,y0000
6833947500.,-0.00017
6833955000.,-0.00207
6833962500.,-0.00087
6833970000.,-0.00209
6833977500.,-0.00052
6833985000.,-0.00088
6833992500.,-0.00105
6834000000.,-0.00242
6834007500.,0.
6834015000.,-0.00245
6834022500.,-0.00156
6834030000.,-0.00242
6834037500.,0.00017
6834045000.,-0.00295
6834052500.,-0.00156
6834060000.,-0.00087
6834067500.,-0.00156
6834075000.,0.00173
6834082500.,-0.00156
6834090000.,0.00208
6834097500.,0.00034
6834105000.,0.00035
6834112500.,0.00225
6834120000.,0.00362
6834127500.,0.00362
6834135000.,0.00224
6834142500.,0.00363
6834150000.,0.00205
6834157500.,0.00325
6834165000.,0.00343
6834172500.,0.00704
6834180000.,0.00396
6834187500.,0.00786
6834195000.,0.00766
6834202500.,0.00837
6834210000.,0.00511
6834217500.,0.00904
6834225000.,0.01236
6834232500.,0.01119
6834240000.,0.01445
6834247500.,0.0146
6834255000.,0.02018
6834262500.,0.02331
6834270000.,0.02866
6834277500.,0.02979
6834285000.,0.03392
6834292500.,0.0403
6834300000.,0.04633
6834307500.,0.052
6834315000.,0.06192
6834322500.,0.06394
6834330000.,0.06908
6834337500.,0.07843
6834345000.,0.08163
6834352500.,0.08815
6834360000.,0.09002
6834367500.,0.09376
6834375000.,0.09857
6834382500.,0.09949
6834390000.,0.09773
6834397500.,0.09885
6834405000.,0.09556
6834412500.,0.09565
6834420000.,0.09105
6834427500.,0.09094
6834435000.,0.08346
6834442500.,0.07453
6834450000.,0.06881
6834457500.,0.06304
6834465000.,0.05508
6834472500.,0.05011
6834480000.,0.04149
6834487500.,0.0343
6834495000.,0.0299
6834502500.,0.02744
6834510000.,0.02235
6834517500.,0.02497
6834525000.,0.03202
6834532500.,0.04795
6834540000.,0.05806
6834547500.,0.05251
6834555000.,0.03685
6834562500.,0.02236
6834570000.,0.01072
6834577500.,0.00786
6834585000.,0.00617
6834592500.,0.00396
6834600000.,0.00224
6834607500.,0.00413
6834615000.,0.00495
6834622500.,0.00069
6834630000.,0.00273
6834637500.,0.00546
6834645000.,0.00259
6834652500.,0.00666
6834660000.,0.00326
6834667500.,0.0043
6834675000.,0.00324
6834682500.,0.00394
6834690000.,0.00411
6834697500.,0.00136
6834705000.,0.00425
6834712500.,0.00496
6834720000.,0.00444
6834727500.,0.00733
6834735000.,0.01038
6834742500.,0.02062
6834750000.,0.05536
6834757500.,0.13205
6834765000.,0.20345
6834772500.,0.19544
6834780000.,0.12742
6834787500.,0.06137
6834795000.,0.02633
6834802500.,0.0152
6834810000.,0.00839
6834817500.,0.00692
6834825000.,0.00438
6834832500.,0.00527
6834840000.,0.00119
6834847500.,0.00424
6834855000.,0.00409
6834862500.,0.00412
6834870000.,0.00307
6834877500.,0.00588
6834885000.,0.00274
6834892500.,0.00312
6834900000.,0.0038
6834907500.,0.00069
6834915000.,0.00294
6834922500.,0.00381
6834930000.,0.00314
6834937500.,0.00451
6834945000.,0.00777
6834952500.,0.00883
6834960000.,0.00847
6834967500.,0.00813
6834975000.,0.01174
6834982500.,0.02628
6834990000.,0.04179
6834997500.,0.05245
6835005000.,0.04685
6835012500.,0.03297
6835020000.,0.02335
6835027500.,0.01831
6835035000.,0.01779
6835042500.,0.02135
6835050000.,0.02092
6835057500.,0.0272
6835065000.,0.02765
6835072500.,0.0334
6835080000.,0.04255
6835087500.,0.05001
6835095000.,0.05371
6835102500.,0.05742
6835110000.,0.06474
6835117500.,0.07229
6835125000.,0.07604
6835132500.,0.08608
6835140000.,0.0898
6835147500.,0.09097
6835155000.,0.09554
6835162500.,0.09624
6835170000.,0.09874
6835177500.,0.09851
6835185000.,0.09554
6835192500.,0.09605
6835200000.,0.09017
6835207500.,0.08693
6835215000.,0.08453
6835222500.,0.07575
6835230000.,0.07251
6835237500.,0.06874
6835245000.,0.06044
6835252500.,0.05515
6835260000.,0.04891
6835267500.,0.03978
6835275000.,0.03149
6835282500.,0.03199
6835290000.,0.02659
6835297500.,0.02191
6835305000.,0.01977
6835312500.,0.01439
6835320000.,0.01211
6835327500.,0.01263
6835335000.,0.00965
6835342500.,0.00944
6835350000.,0.00942
6835357500.,0.00721
6835365000.,0.00661
6835372500.,0.00594
6835380000.,0.00694
6835387500.,0.00601
